Dependency metrics,sexta, 7 nov. 2025 11:40:11 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
mindustry.ClientLauncher,0,27,1 157,1,1,11,1
mindustry.Vars,909,44,1 151,522,1 076,19,60
mindustry.ai.Astar,909,7,1 151,6,1 076,4,4
mindustry.ai.BaseBuilderAI,909,31,1 151,2,1 076,11,2
mindustry.ai.BaseRegistry,909,18,1 151,6,1 076,12,5
mindustry.ai.BaseRegistry.BasePart,909,3,1 151,4,1 076,3,3
mindustry.ai.BlockIndexer,909,26,1 151,33,1 076,13,21
mindustry.ai.BlockIndexer.TurretQuadtree,0,1,1,1,1 077,1,1
mindustry.ai.ControlPathfinder,909,21,1 151,6,1 076,9,4
mindustry.ai.ControlPathfinder.Cluster,0,0,0,1,1 077,0,1
mindustry.ai.ControlPathfinder.FieldCache,909,3,1 151,2,1 076,3,1
mindustry.ai.ControlPathfinder.FieldIndexStruct,0,0,0,0,0,0,0
mindustry.ai.ControlPathfinder.IntraEdgeStruct,0,0,0,0,0,0,0
mindustry.ai.ControlPathfinder.NodeIndexStruct,0,0,0,0,0,0,0
mindustry.ai.ControlPathfinder.PathRequest,909,5,1 151,1,1 076,4,1
mindustry.ai.ItemUnitStance,909,4,1 151,4,1 076,3,3
mindustry.ai.PathfindQueue,0,1,1,2,1 077,0,1
mindustry.ai.Pathfinder,909,23,1 151,16,1 076,9,10
mindustry.ai.Pathfinder.EnemyCoreField,909,10,1 151,1,1 076,6,1
mindustry.ai.Pathfinder.Flowfield,909,5,1 151,5,1 076,4,2
mindustry.ai.Pathfinder.PathTileStruct,0,0,0,0,0,0,0
mindustry.ai.Pathfinder.PositionTarget,0,3,1 152,0,0,3,0
mindustry.ai.RtsAI,909,22,1 151,2,1 076,14,2
mindustry.ai.UnitCommand,909,8,1 151,16,1 076,4,12
mindustry.ai.UnitGroup,909,8,1 151,2,1 076,6,2
mindustry.ai.UnitStance,909,8,1 151,10,1 076,6,9
mindustry.ai.WaveSpawner,909,25,1 151,19,1 076,11,14
mindustry.ai.types.AssemblerAI,909,1,1 151,4,1 076,1,4
mindustry.ai.types.BoostAI,909,3,1 151,2,1 076,3,2
mindustry.ai.types.BuilderAI,909,15,1 151,3,1 076,8,3
mindustry.ai.types.CargoAI,909,7,1 151,2,1 076,7,2
mindustry.ai.types.CommandAI,909,19,1 151,15,1 076,11,10
mindustry.ai.types.DefenderAI,909,7,1 151,2,1 076,5,2
mindustry.ai.types.FlyingAI,909,9,1 151,5,1 076,6,3
mindustry.ai.types.FlyingFollowAI,909,8,1 151,2,1 076,6,2
mindustry.ai.types.GroundAI,909,7,1 151,5,1 076,7,4
mindustry.ai.types.HugAI,909,8,1 151,2,1 076,7,2
mindustry.ai.types.LogicAI,909,9,1 151,10,1 076,7,8
mindustry.ai.types.MinerAI,909,9,1 151,2,1 076,7,2
mindustry.ai.types.MissileAI,909,4,1 151,4,1 076,4,4
mindustry.ai.types.PrebuildAI,909,16,1 151,2,1 076,9,2
mindustry.ai.types.RepairAI,909,3,1 151,2,1 076,3,2
mindustry.ai.types.SuicideAI,909,13,1 151,2,1 076,12,2
mindustry.async.AsyncCore,909,7,1 151,3,1 076,4,2
mindustry.async.AvoidanceProcess,909,9,1 151,4,1 076,4,4
mindustry.async.PhysicsProcess,909,8,1 151,9,1 076,5,5
mindustry.async.PhysicsProcess.PhysicRef,0,1,1,2,1 078,1,2
mindustry.async.PhysicsProcess.PhysicsWorld,909,2,1 151,1,1 076,1,1
mindustry.async.PhysicsProcess.PhysicsWorld.PhysicsBody,0,0,0,3,1 079,0,1
mindustry.audio.SoundControl,909,14,1 151,8,1 076,8,4
mindustry.audio.SoundControl.SoundData,0,0,0,1,1 077,0,1
mindustry.audio.SoundLoop,0,0,0,4,1 077,0,4
mindustry.content.Blocks,909,199,1 151,100,1 076,32,34
mindustry.content.Bullets,909,5,1 151,9,1 076,3,7
mindustry.content.ErekirTechTree,909,28,1 151,1,1 076,10,1
mindustry.content.Fx,909,20,1 151,131,1 076,10,30
mindustry.content.Items,909,2,1 151,26,1 076,2,15
mindustry.content.Liquids,909,4,1 151,24,1 076,3,18
mindustry.content.Loadouts,909,2,1 151,7,1 076,1,5
mindustry.content.Planets,909,25,1 151,21,1 076,10,13
mindustry.content.SectorPresets,909,4,1 151,6,1 076,4,4
mindustry.content.SerpuloTechTree,909,12,1 151,1,1 076,3,1
mindustry.content.StatusEffects,909,10,1 151,30,1 076,7,18
mindustry.content.TeamEntries,0,0,0,1,1 077,0,1
mindustry.content.TechTree,909,7,1 151,10,1 076,4,7
mindustry.content.TechTree.TechNode,909,10,1 151,15,1 076,4,9
mindustry.content.UnitTypes,909,66,1 151,20,1 076,17,13
mindustry.content.Weathers,909,5,1 151,3,1 076,5,3
mindustry.core.ContentLoader,909,37,1 151,133,1 076,11,42
mindustry.core.Control,909,69,1 151,50,1 076,19,21
mindustry.core.FileTree,909,1,1 151,10,1 076,1,8
mindustry.core.GameState,909,13,1 151,201,1 076,6,49
mindustry.core.GameState.State,0,0,0,16,1 078,0,8
mindustry.core.Logic,909,70,1 151,19,1 076,17,11
mindustry.core.NetClient,909,47,1 151,15,1 076,14,9
mindustry.core.NetServer,909,56,1 151,22,1 076,14,10
mindustry.core.NetServer.VoteSession,909,4,1 151,1,1 076,2,1
mindustry.core.PerfCounter,0,0,0,4,1 077,0,2
mindustry.core.Renderer,909,38,1 151,60,1 076,10,23
mindustry.core.Renderer.EnvRenderer,0,0,0,1,1 077,0,1
mindustry.core.UI,909,47,1 151,103,1 076,9,30
mindustry.core.Version,0,0,0,20,1 077,0,11
mindustry.core.World,909,39,1 151,155,1 076,13,39
mindustry.core.World.Context,909,5,1 151,2,1 076,3,1
mindustry.core.World.FilterContext,909,7,1 151,2,1 076,4,2
mindustry.ctype.Content,909,4,1 151,126,1 076,3,43
mindustry.ctype.Content.ModContentInfo,909,1,1 151,15,1 076,1,11
mindustry.ctype.ContentType,909,13,1 151,41,1 076,5,19
mindustry.ctype.MappableContent,909,3,1 151,88,1 076,3,27
mindustry.ctype.UnlockableContent,909,20,1 151,228,1 076,12,42
mindustry.editor.BannedContentDialog,909,10,1 151,1,1 076,8,1
mindustry.editor.DrawOperation,909,8,1 151,4,1 076,6,1
mindustry.editor.DrawOperation.TileOpDataStruct,0,0,0,0,0,0,0
mindustry.editor.DrawOperation.TileOpStruct,0,0,0,0,0,0,0
mindustry.editor.EditorRenderer,909,15,1 151,8,1 076,8,1
mindustry.editor.EditorSpriteCache,0,0,0,1,1 077,0,1
mindustry.editor.EditorTile,909,20,1 151,4,1 076,10,3
mindustry.editor.EditorTool,909,12,1 151,2,1 076,7,1
mindustry.editor.MapEditor,909,20,1 151,16,1 076,11,4
mindustry.editor.MapEditor.Context,909,7,1 151,1,1 076,4,1
mindustry.editor.MapEditorDialog,909,47,1 151,7,1 076,16,5
mindustry.editor.MapGenerateDialog,909,24,1 151,2,1 076,13,1
mindustry.editor.MapInfoDialog,909,18,1 151,1,1 076,10,1
mindustry.editor.MapLoadDialog,909,6,1 151,1,1 076,4,1
mindustry.editor.MapLocalesDialog,909,15,1 151,1,1 076,10,1
mindustry.editor.MapLocalesDialog.PropertyStatus,0,0,0,1,1 077,0,1
mindustry.editor.MapObjectivesCanvas,909,3,1 151,4,1 076,3,1
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap,909,6,1 151,5,1 076,4,1
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap.ObjectiveTile,909,11,1 151,3,1 076,5,1
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap.ObjectiveTile.Connector,909,4,1 151,2,1 076,3,1
mindustry.editor.MapObjectivesCanvas.ObjectiveTilemap.ObjectiveTile.Mover,909,3,1 151,1,1 076,1,1
mindustry.editor.MapObjectivesDialog,909,37,1 151,4,1 076,13,1
mindustry.editor.MapObjectivesDialog.TypeInfo,909,2,1 151,4,1 076,1,1
mindustry.editor.MapProcessorsDialog,909,21,1 151,2,1 076,12,2
mindustry.editor.MapResizeDialog,909,4,1 151,1,1 076,3,1
mindustry.editor.MapView,909,11,1 151,1,1 076,7,1
mindustry.editor.OperationStack,909,1,1 151,1,1 076,1,1
mindustry.editor.SectorGenerateDialog,909,17,1 151,1,1 076,11,1
mindustry.editor.WaveGraph,909,11,1 151,1,1 076,8,1
mindustry.editor.WaveGraph.Mode,0,0,0,1,1 077,0,1
mindustry.editor.WaveInfoDialog,909,22,1 151,1,1 076,14,1
mindustry.editor.WaveInfoDialog.Sort,909,3,1 151,1,1 076,3,1
mindustry.entities.Damage,909,20,1 151,22,1 076,12,7
mindustry.entities.Damage.Collided,0,0,0,1,1 077,0,1
mindustry.entities.Effect,909,11,1 151,129,1 076,8,31
mindustry.entities.Effect.EffectContainer,0,0,0,10,1 077,0,5
mindustry.entities.EntityCollisions,909,6,1 151,11,1 076,5,6
mindustry.entities.EntityGroup,909,3,1 151,7,1 076,2,5
mindustry.entities.Fires,909,11,1 151,8,1 076,8,4
mindustry.entities.GroupDefs,0,0,0,0,0,0,0
mindustry.entities.Leg,0,0,0,2,1 077,0,2
mindustry.entities.LegDestroyData,0,0,0,2,1 077,0,2
mindustry.entities.Lightning,909,9,1 151,8,1 076,7,5
mindustry.entities.Predict,0,0,0,4,1 077,0,4
mindustry.entities.Puddles,909,17,1 151,11,1 076,11,6
mindustry.entities.TargetPriority,0,0,0,16,1 077,0,8
